id,role_id,privilege_id,created_at
841d6d70-97f3-4748-a287-9bcacf51a40f,f82de238-a3c0-43ff-92cd-9a939e4116d6,4a25be77-99eb-4c40-bfdb-2a27cbb4df57,2025-12-11 14:47:59.998241+00
8b33c7e1-f25e-4d89-bdcc-6bad9b7c4cc9,f82de238-a3c0-43ff-92cd-9a939e4116d6,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
505d57b4-e45a-4c3f-95e0-ff0320091507,f82de238-a3c0-43ff-92cd-9a939e4116d6,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
b3ee1c46-abc2-4d99-89d0-9573608d17d6,f82de238-a3c0-43ff-92cd-9a939e4116d6,83767d20-7160-4b45-a9cb-cc4b1abed845,2025-12-11 14:47:59.998241+00
bf8b6a52-5f3a-41e2-be9e-7864c8f8c620,f82de238-a3c0-43ff-92cd-9a939e4116d6,b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,2025-12-11 14:47:59.998241+00
fba5d6b4-bd9f-4136-b1d1-f5a812218173,f82de238-a3c0-43ff-92cd-9a939e4116d6,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
534b78de-4835-459f-b07c-c2bff013e5f3,f82de238-a3c0-43ff-92cd-9a939e4116d6,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
c72e5110-7384-4c28-84b2-13daa6dc60ef,f82de238-a3c0-43ff-92cd-9a939e4116d6,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
2c380c6b-c0e2-4228-a291-bfe658515dbb,f82de238-a3c0-43ff-92cd-9a939e4116d6,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
d5db570a-f396-48e9-9812-f1994e2daca5,f82de238-a3c0-43ff-92cd-9a939e4116d6,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
ad551899-d196-4371-bf36-f6dba1f4bf20,6786356d-f00a-4cb6-b007-2cd75420c1e0,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
fb60acb1-8fd3-4f5a-8388-3737a3da241c,6786356d-f00a-4cb6-b007-2cd75420c1e0,d232d869-3d4e-4bb4-8920-6917b2ae65e3,2025-12-11 14:47:59.998241+00
9de2cf20-2e3b-4e4e-b1a2-19a145c66ab4,6786356d-f00a-4cb6-b007-2cd75420c1e0,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
cb885d78-babf-425a-8a47-d91398658f49,6786356d-f00a-4cb6-b007-2cd75420c1e0,7403b69f-cfe9-481b-8a5a-4f3761fc8755,2025-12-11 14:47:59.998241+00
6b85f5b8-ec66-49d7-972f-0ae99380fe66,6786356d-f00a-4cb6-b007-2cd75420c1e0,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
ef3f15fa-598d-4028-8710-a21bf88aea04,6786356d-f00a-4cb6-b007-2cd75420c1e0,83767d20-7160-4b45-a9cb-cc4b1abed845,2025-12-11 14:47:59.998241+00
e10c858d-d799-4064-8086-b337b89bd477,6786356d-f00a-4cb6-b007-2cd75420c1e0,b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,2025-12-11 14:47:59.998241+00
33653818-d2d3-4e3f-9cb9-a81744d4c871,6786356d-f00a-4cb6-b007-2cd75420c1e0,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
2162865e-39ec-49bc-bd1b-88754d8a7ba9,6786356d-f00a-4cb6-b007-2cd75420c1e0,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
902109e1-4fd2-40c0-a937-b6a859112d0f,6786356d-f00a-4cb6-b007-2cd75420c1e0,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
6f51e85c-f5f0-455d-95c9-7f20302c7479,6786356d-f00a-4cb6-b007-2cd75420c1e0,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
c284f0e5-8e62-4da7-92e8-713f0a98b38f,6786356d-f00a-4cb6-b007-2cd75420c1e0,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
6c20c7f2-3442-4e18-8b5e-0c4033dffd15,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
3a28d88e-dc10-4747-8a76-efe15b52459a,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
9f8c964c-04ed-4629-a079-8cac0a138bbc,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,7403b69f-cfe9-481b-8a5a-4f3761fc8755,2025-12-11 14:47:59.998241+00
2503efb6-9957-4820-b302-ee7f38b605be,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,32f2e927-d0f2-4f7a-90b4-7dc69f046a90,2025-12-11 14:47:59.998241+00
9ac34532-9074-46da-96b9-6da64160aafe,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
2e25f5b8-3b92-4061-9fed-fcdd1da3e9d0,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,83767d20-7160-4b45-a9cb-cc4b1abed845,2025-12-11 14:47:59.998241+00
abf298b6-71f9-4868-bdf5-8332697f1ebd,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,2025-12-11 14:47:59.998241+00
ccbdaf08-828b-4b19-b833-2a45d06f413c,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,ec5abff5-e28a-488e-9fef-462a00b34848,2025-12-11 14:47:59.998241+00
4df117dc-b110-4bca-a824-915763b753b1,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,f7309c36-7385-4d9f-9ff5-38bca469b30f,2025-12-11 14:47:59.998241+00
1c783fab-e12a-4c58-a722-8dcdb76ab83a,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
06ed5395-675b-489c-9689-2636dea55ddb,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
4705ec8c-1d50-4c28-b441-849871ec259f,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,66114c78-4c5e-450f-b61d-e3d7aa5be0f5,2025-12-11 14:47:59.998241+00
5c36a9a9-5f7b-4457-bc80-0e8bc6c1b48f,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
7d2a8e00-baa4-4be7-b079-0cf40d075715,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
6894aa5f-0f92-43a0-ad03-fbb39252a663,ca0b30c6-b73d-4cbb-bc04-490f4280b4b1,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
dd8f4815-3bb6-46b1-8fac-720cc6fca3fe,8a11b829-5e68-44ee-8439-ba58307b78e1,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
454ced2f-f077-4bb4-9272-26d3c59a59b1,8a11b829-5e68-44ee-8439-ba58307b78e1,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
4034c134-e513-4a72-8c69-bdc722b1780e,8a11b829-5e68-44ee-8439-ba58307b78e1,7403b69f-cfe9-481b-8a5a-4f3761fc8755,2025-12-11 14:47:59.998241+00
3c2ff51b-410f-4df9-bd16-2d308c24bd88,8a11b829-5e68-44ee-8439-ba58307b78e1,32f2e927-d0f2-4f7a-90b4-7dc69f046a90,2025-12-11 14:47:59.998241+00
ab4e8456-f11d-4fa3-a2f6-62728c5de74c,8a11b829-5e68-44ee-8439-ba58307b78e1,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
305eba91-883a-4914-aba1-0bdc21862c98,8a11b829-5e68-44ee-8439-ba58307b78e1,83767d20-7160-4b45-a9cb-cc4b1abed845,2025-12-11 14:47:59.998241+00
